crop,year,control_mode,start_hour,battery_nameplate,battery_eff_kwh,irrigation_days,met_days,unfulfilled_days,fulfillment_pct
tomato,2021,continuous-run,14,4.0,3.4,47,14,33,29.8
tomato,2022,continuous-run,6,4.0,3.4,52,0,52,0.0
tomato,2022,continuous-run,7,4.0,3.4,52,28,24,53.8
tomato,2022,continuous-run,8,4.0,3.4,52,51,1,98.1
tomato,2022,continuous-run,9,4.0,3.4,52,52,0,100.0
tomato,2022,continuous-run,10,4.0,3.4,52,48,4,92.3
tomato,2022,continuous-run,11,4.0,3.4,52,39,13,75.0
tomato,2022,continuous-run,12,4.0,3.4,52,31,21,59.6
tomato,2022,continuous-run,13,4.0,3.4,52,23,29,44.2
tomato,2022,continuous-run,14,4.0,3.4,52,13,39,25.0
tomato,2023,continuous-run,6,4.0,3.4,45,0,45,0.0
tomato,2023,continuous-run,7,4.0,3.4,45,34,11,75.6
tomato,2023,continuous-run,8,4.0,3.4,45,43,2,95.6
tomato,2023,continuous-run,9,4.0,3.4,45,41,4,91.1
tomato,2023,continuous-run,10,4.0,3.4,45,40,5,88.9
tomato,2023,continuous-run,11,4.0,3.4,45,27,18,60.0
tomato,2023,continuous-run,12,4.0,3.4,45,22,23,48.9
tomato,2023,continuous-run,13,4.0,3.4,45,18,27,40.0
tomato,2023,continuous-run,14,4.0,3.4,45,14,31,31.1
tomato,2024,continuous-run,6,4.0,3.4,31,0,31,0.0
tomato,2024,continuous-run,7,4.0,3.4,31,21,10,67.7
tomato,2024,continuous-run,8,4.0,3.4,31,30,1,96.8
tomato,2024,continuous-run,9,4.0,3.4,31,30,1,96.8
tomato,2024,continuous-run,10,4.0,3.4,31,27,4,87.1
tomato,2024,continuous-run,11,4.0,3.4,31,21,10,67.7
tomato,2024,continuous-run,12,4.0,3.4,31,17,14,54.8
tomato,2024,continuous-run,13,4.0,3.4,31,12,19,38.7
tomato,2024,continuous-run,14,4.0,3.4,31,7,24,22.6
